[Header]
; ACMS Data File (default extension .dat)
; Copyright 1999, Quantum Design, Inc. All rights reserved.
TITLE,Arbitrary Example
FILEOPENTIME,2101535.23,01/25/2013,9:47 am
BYAPP,ACMS,1.0,1.1
INFO,PPMS ACMS Option Version: 1.0.9 Build 14,APPNAME
INFO,HARMONICS,1
INFO,mass,Arbitrary
INFO,Identity,Example
INFO,,
INFO,,
INFO,,
INFO,,
INFO,,
INFO,,
INFO,,
INFO,,
DATATYPE,COMMENT,1
DATATYPE,TIME,2
FIELDGROUP,AC Mag,2,3,4,5,6,8,9,10,11,12
FIELDGROUP,DC Mag,2,3,4,7,8
STARTUPGROUP,All
STARTUPAXIS,X,2,LINEAR,AUTO
TIMEMODE,MINUTES,RELATIVE
PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES
RECORDS,ALL_RECORDS
DATATYPE,TIME,2
DATATYPE,COMMENT,1
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Frequency (Hz),Amplitude (Oe),M-DC (emu),M-Std.Dev. (emu),M' (emu),M'' (emu),Moment (emu),Phase (deg),Calcoil' (emu),Calcoil'' (emu),Calcoil (emu),CC Phase (deg),Count,Gain,Measure Type,Elapsed (sec),Sample Center (cm),Max.Signal (V),PPMS Status (code),DSP Status (code),Min.Temperature (K),Max.Temperature (K),Min.Field (Oe),Max.Field (Oe),DC Position (cm),PPMS Temperature (K),PPMS Position,Bridge 1 Resistance (ohms),Bridge 1 Excitation (uA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (uA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (uA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (uA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (watts),Drive 2 Iout (mA),Drive 2 Ipower (watts),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,2116401.96,1.9909227,9999.475,,,0.00605192636870323,9.17086491724639E-5,,,,,,,,,5,125,0,19.78100000415,0.158117602128942,6.40094497186619E-5,4374,0,1.9778304,2.004015,9999.475,9999.475,0.158117602128942,1.99255,,,,,,,,,,,,,,,,,,,,,,,1.9909227
,2116430.42,1.98819885,9999.475,,,0.00609197306327777,4.08773071500954E-5,,,,,,,,,5,125,0,21.2179999798536,0.120976676442249,6.45865257186859E-5,4373,0,1.9821904,1.9942073,9999.475,9999.475,0.120976676442249,1.99025,,,,,,,,,,,,,,,,,,,,,,,1.98819885
,2116458.67,1.9924943,9999.475,,,0.00608182775691005,4.29562605926266E-5,,,,,,,,,5,125,0,21.718000411056,0.0755307589122187,6.51945473759911E-5,4373,0,1.9904859,1.9945027,9999.475,9999.475,0.0755307589122187,1.9935,,,,,,,,,,,,,,,,,,,,,,,1.9924943
,2116597.94,2.02448715,9999.475,,,0.00606108101928521,4.1494614518398E-5,,,,,,,,,5,125,0,7.00000037904829,0.0755307589122187,6.27014338360431E-5,4370,0,2.0008013,2.048173,9999.475,9999.475,0.0709251560740836,2.03035,,,,,,,,,,,,,,,,,,,,,,,2.02448715
,2116721.92,3.0330738,9999.475,,,0.00583956626075758,4.15081024730216E-5,,,,,,,,,5,125,0,6.49999994784594,0.0755307589122187,6.20928935364372E-5,4370,0,3.0102823,3.0558653,9999.475,9999.475,0.064898773315306,3.03905,,,,,,,,,,,,,,,,,,,,,,,3.0330738
,2116845.12,4.0395155,9999.475,,,0.00566180807703783,4.1574983997418E-5,,,,,,,,,5,125,0,6.71900021843612,0.0755307589122187,6.11659068641397E-5,4370,0,4.0112262,4.0678048,9999.475,9999.475,0.0680638156499465,4.0497,,,,,,,,,,,,,,,,,,,,,,,4.0395155
,2116967.27,5.04197335,9999.475,,,0.00546633548320907,4.28454839359832E-5,,,,,,,,,5,125,0,6.98400016408414,0.0755307589122187,6.08797891948648E-5,4370,0,5.0136652,5.0702815,9999.475,9999.475,0.0695767624356821,5.0567,,,,,,,,,,,,,,,,,,,,,,,5.04197335
,2117088.57,6.04438115,9999.475,,,0.00531306942201404,4.26445860536055E-5,,,,,,,,,5,125,0,6.79700032342225,0.0755307589122187,6.08037216574141E-5,4370,0,6.0194602,6.0693021,9999.475,9999.475,0.0558031009210375,6.05505,,,,,,,,,,,,,,,,,,,,,,,6.04438115
,2117208.53,7.0451498,9999.475,,,0.00518390378430818,4.28303326550846E-5,,,,,,,,,5,125,0,7.13999974541366,0.0755307589122187,6.0400909470459E-5,4370,0,7.014729,7.0755706,9999.475,9999.475,0.0585737157816084,7.04915,,,,,,,,,,,,,,,,,,,,,,,7.0451498
,2117328.12,8.03378535,9999.475,,,0.00503849761372808,4.37903384191453E-5,,,,,,,,,5,125,0,6.96799994911998,0.0755307589122187,6.00401073098688E-5,4370,0,8.0132809,8.0542898,9999.475,9999.475,0.0599589826537576,8.0413,,,,,,,,,,,,,,,,,,,,,,,8.03378535
,2117449.86,9.04456565,9999.475,,,0.00493230692632913,4.33825962611269E-5,,,,,,,,,5,125,0,7.07800048403442,0.0755307589122187,5.93769366879119E-5,4370,0,9.0141582,9.0749731,9999.475,9999.475,0.0617330467787496,9.04675,,,,,,,,,,,,,,,,,,,,,,,9.04456565
,2117570.63,10.0417771,9999.475,,,0.00484973015430452,4.43080088080983E-5,,,,,,,,,5,125,0,6.92199964541942,0.0755307589122187,5.90118125081483E-5,4370,0,10.0093231,10.0742311,9999.475,9999.475,0.0628091454886642,10.05365,,,,,,,,,,,,,,,,,,,,,,,10.0417771
,2117690.20,11.03940485,9999.475,,,0.00475393418436386,4.38511530744536E-5,,,,,,,,,5,125,0,6.48399973288178,0.0755307589122187,5.87175694428275E-5,4370,0,11.01336,11.0654497,9999.475,9999.475,0.0634733070240751,11.0426,,,,,,,,,,,,,,,,,,,,,,,11.03940485
